Perplexity Results for FFNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 1848.9583
Average Test Perplexity: 1992.5259

Test Set Perplexities:
Sentence 943: 4394.9947
Sentence 944: 94.1244
Sentence 945: 2.4523
Sentence 946: 4115.4288
Sentence 947: 185.8841
Sentence 948: 41.8659
Sentence 949: 2686.7737
Sentence 950: 9.1090
Sentence 951: 2437.4479
Sentence 952: 27.7480
Sentence 953: 6726.3908
Sentence 954: 6742.1559
Sentence 955: 714.7667
Sentence 956: 2829.2388
Sentence 957: 785.4463
Sentence 958: 14.9050
Sentence 959: 279.2430
Sentence 960: 5658.5801
Sentence 961: 185.8841
Sentence 962: 57.6497
Sentence 963: 1422.4162
Sentence 964: 6513.7773
Sentence 965: 3092.6665
Sentence 966: 31.0283
Sentence 967: 4953.8072
Sentence 968: 262.7149
Sentence 969: 16.7892
Sentence 970: 699.6155
Sentence 971: 259.7897
Sentence 972: 3896.3800
Sentence 973: 27.6252
Sentence 974: 8247.9364
Sentence 975: 3546.7081
Sentence 976: 5.1506
Sentence 977: 8997.5112
Sentence 978: 42.6733
Sentence 979: 1.0021
Sentence 980: 6414.1274
Sentence 981: 5.4191
Sentence 982: 22.8129
Sentence 983: 61.3364
Sentence 984: 5574.8732
Sentence 985: 3351.3859
Sentence 986: 4128.0185
Sentence 987: 1372.8900
Sentence 988: 527.7212
Sentence 989: 405.6436
Sentence 990: 28.1727
Sentence 991: 44.4872
Sentence 992: 6897.0288
Sentence 993: 800.1641
Sentence 994: 583.9182
Sentence 995: 3716.8039
Sentence 996: 2897.5532
Sentence 997: 2.3101
Sentence 998: 3913.3680
Sentence 999: 48.1580
Sentence 1000: 1364.9174
Sentence 1001: 44.4872
Sentence 1002: 2600.0254
Sentence 1003: 7.0548
Sentence 1004: 5734.3109
Sentence 1005: 73.6901
Sentence 1006: 2700.9028
Sentence 1007: 1209.1731
Sentence 1008: 518.5387
Sentence 1009: 536.8836
Sentence 1010: 8219.7931
Sentence 1011: 6800.9873
Sentence 1012: 15.8441
Sentence 1013: 3621.0559
Sentence 1014: 64.8650
Sentence 1015: 6796.4378
Sentence 1016: 94.1244
