Perplexity Results for RNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 255.7799
Average Test Perplexity: 1316.8406

Test Set Perplexities:
Sentence 789: 4792.9342
Sentence 790: 21.4997
Sentence 791: 1232.3171
Sentence 792: 8.6699
Sentence 793: 130.8517
Sentence 794: 86.1753
Sentence 795: 9062.7596
Sentence 796: 9085.3564
Sentence 797: 4.2421
Sentence 798: 1977.3509
Sentence 799: 4416.7259
Sentence 800: 266.0202
Sentence 801: 3.6846
Sentence 802: 3772.6411
Sentence 803: 1.9975
Sentence 804: 148.4350
Sentence 805: 187.2618
Sentence 806: 7278.0950
Sentence 807: 4527.5677
Sentence 808: 3392.3500
Sentence 809: 8.9059
Sentence 810: 8.3820
Sentence 811: 4117.9964
Sentence 812: 31.0117
Sentence 813: 37.8500
Sentence 814: 12.8978
Sentence 815: 60.1331
Sentence 816: 341.3851
Sentence 817: 126.9136
Sentence 818: 1423.4747
Sentence 819: 2.4710
Sentence 820: 158.8545
Sentence 821: 5.6027
Sentence 822: 9467.9710
Sentence 823: 40.2780
Sentence 824: 1868.3789
Sentence 825: 1915.5817
Sentence 826: 211.4921
Sentence 827: 1766.7547
Sentence 828: 7098.4107
Sentence 829: 8032.9665
Sentence 830: 7.1953
Sentence 831: 29.9883
Sentence 832: 4.4211
Sentence 833: 9704.7021
Sentence 834: 2117.9978
Sentence 835: 3791.9688
Sentence 836: 32.7389
Sentence 837: 355.1838
Sentence 838: 90.6640
Sentence 839: 1.1248
Sentence 840: 323.7665
Sentence 841: 22.8747
Sentence 842: 5.5992
Sentence 843: 341.5833
Sentence 844: 1413.0068
Sentence 845: 9.2030
Sentence 846: 8.5297
Sentence 847: 2246.0159
Sentence 848: 36.4508
Sentence 849: 1.1714
Sentence 850: 78.0715
Sentence 851: 7578.9452
Sentence 852: 15.0928
Sentence 853: 84.0786
Sentence 854: 2.5217
Sentence 855: 20.5710
Sentence 856: 9.7203
Sentence 857: 369.0538
Sentence 858: 1499.2980
Sentence 859: 9.5017
Sentence 860: 19.4249
Sentence 861: 95.8438
Sentence 862: 2491.8240
Sentence 863: 6.4290
Sentence 864: 37.6557
Sentence 865: 8446.1989
Sentence 866: 1.8206
Sentence 867: 167.6529
Sentence 868: 2.6617
Sentence 869: 21.0141
Sentence 870: 7306.8276
Sentence 871: 1822.3975
Sentence 872: 5655.6607
Sentence 873: 39.3644
Sentence 874: 11.6827
Sentence 875: 260.7630
Sentence 876: 6334.5658
Sentence 877: 8793.3585
Sentence 878: 31.4315
Sentence 879: 9.5444
Sentence 880: 2.9987
Sentence 881: 5.7052
Sentence 882: 17.5011
Sentence 883: 10.4709
Sentence 884: 9158.0328
Sentence 885: 6.6323
Sentence 886: 24.8850
Sentence 887: 36.2195
Sentence 888: 1298.2291
Sentence 889: 7.4219
Sentence 890: 1.0652
Sentence 891: 2231.2380
Sentence 892: 6669.7503
Sentence 893: 3.8881
Sentence 894: 147.4965
Sentence 895: 6.8464
Sentence 896: 3920.6643
Sentence 897: 29.9363
Sentence 898: 1125.6328
Sentence 899: 11.4923
Sentence 900: 5.9111
Sentence 901: 141.1097
Sentence 902: 316.3962
Sentence 903: 310.0037
Sentence 904: 9090.0647
Sentence 905: 249.6444
Sentence 906: 2505.0300
Sentence 907: 1966.3772
Sentence 908: 54.8323
Sentence 909: 5539.6315
Sentence 910: 6.5518
Sentence 911: 39.8931
Sentence 912: 346.0563
Sentence 913: 310.0037
Sentence 914: 2907.2522
Sentence 915: 37.4651
Sentence 916: 151.9076
Sentence 917: 5056.8215
Sentence 918: 74.4342
Sentence 919: 51.0657
Sentence 920: 346.0563
Sentence 921: 310.0037
Sentence 922: 2.2396
Sentence 923: 8002.3333
Sentence 924: 64.5176
Sentence 925: 1.2559
Sentence 926: 91.4748
Sentence 927: 41.4259
Sentence 928: 723.9891
Sentence 929: 7.9463
Sentence 930: 9572.8233
Sentence 931: 621.7476
Sentence 932: 3686.0700
Sentence 933: 5.0181
Sentence 934: 2084.5375
Sentence 935: 23.7274
Sentence 936: 35.6367
Sentence 937: 8976.4073
Sentence 938: 107.8778
Sentence 939: 2857.3562
Sentence 940: 292.2711
Sentence 941: 163.0986
Sentence 942: 275.9043
Sentence 943: 4.2421
Sentence 944: 35.1541
Sentence 945: 37.9277
Sentence 946: 2340.6601
Sentence 947: 81.1225
Sentence 948: 3290.4628
Sentence 949: 1.6134
Sentence 950: 38.1871
Sentence 951: 1.0043
Sentence 952: 1.6933
Sentence 953: 4.6650
Sentence 954: 4562.4489
Sentence 955: 321.8148
Sentence 956: 630.2265
Sentence 957: 2.3367
Sentence 958: 6.8418
Sentence 959: 8642.6448
Sentence 960: 215.7573
Sentence 961: 2.3367
Sentence 962: 4346.5850
Sentence 963: 61.9071
Sentence 964: 46.2139
Sentence 965: 761.6144
Sentence 966: 5151.2928
Sentence 967: 15.7154
Sentence 968: 157.2374
Sentence 969: 2.1372
Sentence 970: 5.8264
Sentence 971: 8491.4388
Sentence 972: 9.5063
Sentence 973: 2317.2259
Sentence 974: 2743.4779
Sentence 975: 1179.2498
Sentence 976: 13.1719
Sentence 977: 42.1793
Sentence 978: 4912.6956
Sentence 979: 1013.8166
Sentence 980: 7951.6037
Sentence 981: 802.3989
Sentence 982: 36.7803
Sentence 983: 969.1737
Sentence 984: 68.9190
Sentence 985: 7.7901
Sentence 986: 33.9411
Sentence 987: 1470.5954
Sentence 988: 9022.4468
Sentence 989: 17.0803
Sentence 990: 2.7589
Sentence 991: 44.8411
Sentence 992: 802.9526
Sentence 993: 1778.6979
Sentence 994: 23.4188
Sentence 995: 3336.2025
Sentence 996: 23.0540
Sentence 997: 8.4202
Sentence 998: 2211.2530
Sentence 999: 6389.3331
Sentence 1000: 174.6484
Sentence 1001: 4.0810
Sentence 1002: 13.5948
Sentence 1003: 291.7822
Sentence 1004: 13.6840
Sentence 1005: 494.5874
Sentence 1006: 3.0941
Sentence 1007: 550.7013
Sentence 1008: 5963.2152
Sentence 1009: 79.8420
Sentence 1010: 4.3468
Sentence 1011: 8213.9811
Sentence 1012: 312.7702
Sentence 1013: 3444.6875
Sentence 1014: 9.1147
Sentence 1015: 138.8132
Sentence 1016: 63.8682
Sentence 1017: 6540.0484
Sentence 1018: 1216.3073
Sentence 1019: 1.6459
Sentence 1020: 55.6056
Sentence 1021: 2.1085
Sentence 1022: 19.1829
