Perplexity Results for LSTM on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 166.3927
Average Test Perplexity: 1108.9579

Test Set Perplexities:
Sentence 877: 3912.9510
Sentence 878: 89.9683
Sentence 879: 38.0613
Sentence 880: 3.6074
Sentence 881: 5.5173
Sentence 882: 3.0609
Sentence 883: 17.0009
Sentence 884: 7485.4847
Sentence 885: 5.9008
Sentence 886: 18.6580
Sentence 887: 42.3795
Sentence 888: 9020.0349
Sentence 889: 15.4206
Sentence 890: 1.0000
Sentence 891: 9955.6268
Sentence 892: 2394.5141
Sentence 893: 14.3033
Sentence 894: 46.2778
Sentence 895: 8.8493
Sentence 896: 581.2910
Sentence 897: 12.3697
Sentence 898: 763.0968
Sentence 899: 4.1947
Sentence 900: 12.5118
Sentence 901: 156.2138
Sentence 902: 68.2137
Sentence 903: 115.8775
Sentence 904: 4126.6792
Sentence 905: 52.7603
Sentence 906: 2588.8755
Sentence 907: 3875.1683
Sentence 908: 220.8664
Sentence 909: 712.4963
Sentence 910: 9.8548
Sentence 911: 11.0435
Sentence 912: 1069.7106
Sentence 913: 115.8775
Sentence 914: 8225.8002
Sentence 915: 86.1772
Sentence 916: 505.1136
Sentence 917: 9427.9465
Sentence 918: 4.1075
Sentence 919: 174.8504
Sentence 920: 1069.7106
Sentence 921: 115.8775
Sentence 922: 12.2444
Sentence 923: 2958.9888
Sentence 924: 24.0411
Sentence 925: 1.6691
Sentence 926: 30.1103
Sentence 927: 26.4069
Sentence 928: 268.4061
Sentence 929: 7.8125
Sentence 930: 7206.4979
Sentence 931: 7937.9340
Sentence 932: 3593.3434
Sentence 933: 2.8122
Sentence 934: 6358.4410
Sentence 935: 5.2083
Sentence 936: 7043.5225
Sentence 937: 8584.5124
Sentence 938: 5.9969
Sentence 939: 4846.8968
Sentence 940: 343.6753
Sentence 941: 7040.1771
Sentence 942: 96.5079
Sentence 943: 7.4380
Sentence 944: 31.6617
Sentence 945: 53.4693
Sentence 946: 419.0953
Sentence 947: 172.5498
Sentence 948: 3043.0471
Sentence 949: 1.1348
Sentence 950: 2.3381
Sentence 951: 1.0033
Sentence 952: 6.8909
Sentence 953: 4.8610
Sentence 954: 6962.5672
Sentence 955: 554.6115
Sentence 956: 534.7189
Sentence 957: 11.7020
Sentence 958: 9.8932
Sentence 959: 8699.6125
Sentence 960: 227.2172
Sentence 961: 11.7020
Sentence 962: 129.2069
Sentence 963: 4.8841
Sentence 964: 125.5140
Sentence 965: 777.0600
Sentence 966: 7281.2989
Sentence 967: 18.4067
Sentence 968: 230.9206
Sentence 969: 3.8193
Sentence 970: 7.2459
Sentence 971: 1798.5564
Sentence 972: 13.4827
Sentence 973: 2543.5978
Sentence 974: 375.2886
Sentence 975: 101.5782
Sentence 976: 22.0244
Sentence 977: 107.0359
Sentence 978: 5897.7338
Sentence 979: 6536.0454
Sentence 980: 5216.2870
Sentence 981: 229.5875
Sentence 982: 7.3064
Sentence 983: 1416.8586
Sentence 984: 93.5325
Sentence 985: 29.1605
Sentence 986: 253.2123
Sentence 987: 4793.2920
Sentence 988: 675.7508
Sentence 989: 15.2359
Sentence 990: 2.0341
Sentence 991: 7.5926
Sentence 992: 3261.5897
Sentence 993: 1294.1062
Sentence 994: 16.4936
Sentence 995: 3950.5098
Sentence 996: 259.4680
Sentence 997: 4.6798
Sentence 998: 9666.1734
Sentence 999: 9626.2939
Sentence 1000: 44.7881
Sentence 1001: 10.3555
Sentence 1002: 5.0219
Sentence 1003: 100.2934
Sentence 1004: 48.7674
Sentence 1005: 735.4194
Sentence 1006: 2.3860
Sentence 1007: 1380.9974
Sentence 1008: 3284.9232
Sentence 1009: 931.7213
Sentence 1010: 8.3875
Sentence 1011: 3076.2291
Sentence 1012: 443.3296
Sentence 1013: 1022.3510
Sentence 1014: 3.0317
Sentence 1015: 40.6123
Sentence 1016: 8.0591
Sentence 1017: 321.1664
Sentence 1018: 156.1600
Sentence 1019: 2.6195
Sentence 1020: 35.6265
Sentence 1021: 2.8849
Sentence 1022: 6.6246
Sentence 1023: 107.6837
Sentence 1024: 6659.9567
Sentence 1025: 99.1806
