Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 698: 327.5986
Sentence 699: 70.3837
Sentence 700: 1067.5765
Sentence 701: 7666.5577
Sentence 702: 46.6304
Sentence 703: 43.4089
Sentence 704: 52.2708
Sentence 705: 407.5772
Sentence 706: 8797.4612
Sentence 707: 35.3284
Sentence 708: 4105.3505
Sentence 709: 51.1452
Sentence 710: 5432.1708
Sentence 711: 59.2943
Sentence 712: 1749.9456
Sentence 713: 11.6266
Sentence 714: 851.3883
Sentence 715: 5.3011
Sentence 716: 1319.8226
Sentence 717: 12.0456
Sentence 718: 65.1748
Sentence 719: 114.8699
Sentence 720: 17.4507
Sentence 721: 1153.4798
Sentence 722: 6.0962
Sentence 723: 3421.9719
Sentence 724: 56.6679
Sentence 725: 2.6163
Sentence 726: 45.5534
Sentence 727: 3557.0085
Sentence 728: 6.1395
Sentence 729: 1219.1572
Sentence 730: 879.9246
Sentence 731: 1.0990
Sentence 732: 2289.4266
Sentence 733: 1605.0404
Sentence 734: 579.2482
Sentence 735: 25.2171
Sentence 736: 7052.9301
Sentence 737: 14.8416
Sentence 738: 24.3012
Sentence 739: 97.7119
Sentence 740: 291.9729
Sentence 741: 4838.4524
Sentence 742: 10.2931
Sentence 743: 13.1806
Sentence 744: 52.8716
Sentence 745: 16.8356
Sentence 746: 1259.2270
Sentence 747: 1935.6978
Sentence 748: 6.8762
Sentence 749: 62.5908
Sentence 750: 2308.7450
Sentence 751: 8414.4712
Sentence 752: 44.5892
Sentence 753: 31.7629
Sentence 754: 40.7355
Sentence 755: 9444.2668
Sentence 756: 25.6312
Sentence 757: 11.6528
Sentence 758: 1.0290
Sentence 759: 4542.9845
Sentence 760: 1368.9120
Sentence 761: 446.3191
Sentence 762: 43.9933
Sentence 763: 7905.6099
Sentence 764: 367.8577
Sentence 765: 29.2529
Sentence 766: 205.5843
Sentence 767: 2230.2650
Sentence 768: 8.0060
Sentence 769: 7019.9378
Sentence 770: 64.8790
Sentence 771: 8993.2532
Sentence 772: 81.7156
Sentence 773: 9623.2402
Sentence 774: 363.8532
Sentence 775: 5924.7475
Sentence 776: 5553.0984
Sentence 777: 3608.0558
Sentence 778: 64.3418
Sentence 779: 2420.0869
Sentence 780: 187.9352
Sentence 781: 66.5796
Sentence 782: 4036.1872
Sentence 783: 2259.9292
Sentence 784: 14.6860
Sentence 785: 5705.9203
Sentence 786: 162.2404
Sentence 787: 8601.6731
Sentence 788: 513.9522
Sentence 789: 1.8894
Sentence 790: 1236.1416
